,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Chris Boucher,27,01/11/93,,Oregon,2,843d6489a236c54a38db617c74ded459,,https://a.espncdn.com/i/headshots/nba/players/full/3948153.png,81.0,3948153,25,Chris Boucher,PF,1588231.0,toronto-raptors,s:40~l:46~a:3948153,200.0,84.0,0.0,10.6,1.8,4.0,45.4,0.5,1.6,29.2,1.1,1.4,80.5,1.3,2.3,3.6,0.3,0.9,0.3,1.6,0.4,5.3
Dewan Hernandez,23,12/09/96,"Miami, FL",Miami (FL),0,d46b2d04a3a163a54df3b27cf5413254,,https://a.espncdn.com/i/headshots/nba/players/full/4065672.png,82.0,4065672,20,Dewan Hernandez,C,898310.0,toronto-raptors,s:40~l:46~a:4065672,235.0,4.0,0.0,2.8,0.3,1.3,20.0,0.0,0.3,0.0,0.5,0.5,100.0,0.5,1.3,1.8,0.0,0.0,0.3,1.5,0.3,1.0
Fred VanVleet,26,02/25/94,"Rockford, IL",Wichita State,3,6c6e5179fc67908ebc500a5580d64159,,https://a.espncdn.com/i/headshots/nba/players/full/2991230.png,73.0,2991230,23,Fred VanVleet,SG,9346153.0,toronto-raptors,s:40~l:46~a:2991230,197.0,225.0,76.0,23.5,3.6,8.7,41.1,1.6,4.1,39.2,1.5,1.8,83.9,0.3,2.2,2.5,4.0,0.2,1.0,1.8,1.2,10.3
Kyle Lowry,34,03/25/86,"Philadelphia, PA",Villanova,13,f47675222a75d36e0214eeb7a489af0e,,https://a.espncdn.com/i/headshots/nba/players/full/3012.png,72.0,3012,7,Kyle Lowry,PG,34996296.0,toronto-raptors,s:40~l:46~a:3012,196.0,908.0,672.0,31.6,4.7,11.2,42.3,1.9,5.1,36.6,3.4,4.2,80.9,0.8,3.5,4.3,6.2,0.3,1.4,2.7,2.3,14.7
Malcolm Miller,27,03/06/93,"Gaithersburg, MD",Holy Cross,2,948701532c2d39b853f6cd5694b66930,,https://a.espncdn.com/i/headshots/nba/players/full/2580980.png,79.0,2580980,13,Malcolm Miller,SG,1588231.0,toronto-raptors,s:40~l:46~a:2580980,210.0,50.0,5.0,6.4,0.6,1.6,41.0,0.5,1.2,39.3,0.2,0.3,57.1,0.1,0.6,0.7,0.2,0.1,0.1,0.5,0.2,1.9
Marc Gasol,35,01/29/85,Spain,,11,fff48cf2e014d79c191809b965813731,,https://a.espncdn.com/i/headshots/nba/players/full/3206.png,83.0,3206,33,Marc Gasol,C,25595700.0,toronto-raptors,s:40~l:46~a:3206,255.0,831.0,815.0,33.2,5.4,11.3,48.2,0.5,1.3,35.6,3.3,4.3,77.7,1.6,6.0,7.6,3.4,1.4,0.9,2.9,2.0,14.7
Matt Thomas,25,08/04/94,"Decatur, IL",Iowa State,0,4047056662eb99aeef06b0a7401917e8,,https://a.espncdn.com/i/headshots/nba/players/full/3059311.png,76.0,3059311,21,Matt Thomas,SG,898310.0,toronto-raptors,s:40~l:46~a:3059311,190.0,33.0,0.0,9.7,1.6,3.4,48.6,1.1,2.3,46.7,0.2,0.3,70.0,0.2,1.2,1.5,0.5,0.0,0.2,0.9,0.4,4.5
Norman Powell,26,05/25/93,"San Diego, CA",UCLA,4,4941d0401812cbb027bf598cd624bc84,,https://a.espncdn.com/i/headshots/nba/players/full/2595516.png,75.0,2595516,24,Norman Powell,SG,10116576.0,toronto-raptors,s:40~l:46~a:2595516,215.0,299.0,86.0,18.6,3.1,6.8,45.7,1.0,2.9,35.9,1.2,1.5,81.6,0.3,2.0,2.3,1.3,0.2,0.7,1.6,1.0,8.5
OG Anunoby,22,07/17/97,England,Indiana,2,31ec117d6e14d4f094149d2467197179,B,https://a.espncdn.com/i/headshots/nba/players/full/3934719.png,79.0,3934719,3,OG Anunoby,SF,2281800.0,toronto-raptors,s:40~l:46~a:3934719,232.0,204.0,130.0,23.2,3.0,6.3,48.0,1.1,3.0,36.2,0.7,1.0,63.8,0.9,2.7,3.5,1.0,0.4,0.9,2.1,0.9,7.8
Oshae Brissett,21,06/20/98,"Toronto, ON",Syracuse,0,3ffed185196d48d0e38ee91b22f2273c,,https://a.espncdn.com/i/headshots/nba/players/full/4278031.png,79.0,4278031,12,Oshae Brissett,SF,0.0,toronto-raptors,s:40~l:46~a:4278031,210.0,19.0,0.0,7.1,0.7,1.9,36.1,0.2,0.8,20.0,0.4,0.5,80.0,0.5,0.9,1.4,0.4,0.1,0.2,0.9,0.4,1.9
Pascal Siakam,25,04/02/94,Cameroon,New Mexico State,3,7c82adbb96d724542921535f8b8f6248,,https://a.espncdn.com/i/headshots/nba/players/full/3149673.png,81.0,3149673,43,Pascal Siakam,PF,2351839.0,toronto-raptors,s:40~l:46~a:3149673,230.0,269.0,175.0,25.9,5.0,9.8,50.4,0.8,2.5,33.3,2.0,2.6,76.6,1.2,4.4,5.6,2.3,0.7,0.8,2.5,1.4,12.7
Patrick McCaw,24,10/25/95,,UNLV,3,a8813780dda6d3d8164dd05be84d7a43,,https://a.espncdn.com/i/headshots/nba/players/full/3137730.png,79.0,3137730,22,Patrick McCaw,SF,4000000.0,toronto-raptors,s:40~l:46~a:3137730,181.0,194.0,43.0,17.2,1.5,3.6,41.9,0.5,1.6,30.5,0.4,0.5,77.9,0.3,1.3,1.6,1.4,0.2,0.7,1.2,0.6,3.9
Paul Watson,25,12/30/94,USA,Fresno State,0,6dc16b47c281c67d63cbe6ad03cbc117,L,https://a.espncdn.com/i/headshots/nba/players/full/3058030.png,78.0,3058030,1,Paul Watson,SF,0.0,toronto-raptors,s:40~l:46~a:3058030,210.0,5.0,0.0,5.0,0.0,1.6,0.0,0.0,0.8,0.0,0.2,0.4,50.0,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.0,0.2
Serge Ibaka,30,09/18/89,,,10,2fe777baa2f3774ce617c8158c48e40c,,https://a.espncdn.com/i/headshots/nba/players/full/3439.png,84.0,3439,9,Serge Ibaka,C,23271604.0,toronto-raptors,s:40~l:46~a:3439,235.0,803.0,646.0,28.6,5.2,10.2,51.4,0.7,1.8,36.1,1.5,1.9,76.0,2.2,5.2,7.4,0.8,2.1,0.4,2.8,1.3,12.6
Stanley Johnson,23,05/29/96,"Anaheim, CA",Arizona,4,6caed88faf780c9839373c45c93fd069,,https://a.espncdn.com/i/headshots/nba/players/full/3134881.png,78.0,3134881,5,Stanley Johnson,SF,3623000.0,toronto-raptors,s:40~l:46~a:3134881,242.0,305.0,64.0,20.5,2.4,6.5,37.2,0.8,2.7,29.1,0.9,1.2,76.5,0.5,2.7,3.2,1.4,0.2,0.9,1.9,1.2,6.6
Terence Davis,22,05/16/97,,Ole Miss,0,063803e61039bb717172aa9fe499dbe5,,https://a.espncdn.com/i/headshots/nba/players/full/3919454.png,76.0,3919454,0,Terence Davis,SG,898310.0,toronto-raptors,s:40~l:46~a:3919454,201.0,64.0,2.0,17.0,2.8,6.1,46.3,1.4,3.5,39.6,0.7,0.8,86.5,0.7,2.7,3.4,1.7,0.2,0.5,1.6,1.0,7.7
Adam Mokoka,21,07/18/98,France,,0,5e54fa1ddac2f6fe9b5b7d458ec916db,,https://a.espncdn.com/i/headshots/nba/players/full/4349241.png,77.0,4349241,20,Adam Mokoka,SG,0.0,chicago-bulls,s:40~l:46~a:4349241,190.0,11.0,0.0,10.2,1.1,2.5,42.9,0.5,1.4,40.0,0.2,0.4,50.0,0.6,0.3,0.9,0.4,0.0,0.4,1.5,0.2,2.9
Chandler Hutchison,23,04/26/96,"Mission Viejo, CA",Boise State,1,0bbef0d6e2d16753f4220deaba4baea8,,https://a.espncdn.com/i/headshots/nba/players/full/3149010.png,79.0,3149010,15,Chandler Hutchison,SF,2332320.0,chicago-bulls,s:40~l:46~a:3149010,210.0,72.0,24.0,19.8,2.4,5.3,45.8,0.4,1.2,29.5,1.0,1.6,59.5,0.7,3.4,4.1,0.8,0.2,0.7,1.5,0.7,6.2
Coby White,20,02/16/00,"Goldsboro, NC",North Carolina,0,750f545c3cc8fea491cd828da373cc8e,,https://a.espncdn.com/i/headshots/nba/players/full/4395651.png,76.0,4395651,0,Coby White,PG,5307120.0,chicago-bulls,s:40~l:46~a:4395651,195.0,65.0,1.0,25.8,4.8,12.2,39.4,2.0,5.8,35.4,1.6,2.0,79.1,0.4,3.1,3.5,2.7,0.1,0.8,1.8,1.7,13.2
Cristiano Felicio,27,07/07/92,Brazil,,4,d1e73c8c947fa0edfbd6880579f09cb1,,https://a.espncdn.com/i/headshots/nba/players/full/3113587.png,82.0,3113587,6,Cristiano Felicio,PF,8156500.0,chicago-bulls,s:40~l:46~a:3113587,270.0,234.0,20.0,14.8,1.8,3.2,57.2,0.0,0.1,0.0,0.9,1.3,67.9,1.6,2.5,4.1,0.7,0.2,0.3,1.5,0.6,4.5
Daniel Gafford,21,10/01/98,"El Dorado, AR",Arkansas,0,5ea1b27c35dcc1cf3d9cba22c98062d4,,https://a.espncdn.com/i/headshots/nba/players/full/4278049.png,82.0,4278049,12,Daniel Gafford,PF,898310.0,chicago-bulls,s:40~l:46~a:4278049,234.0,43.0,7.0,14.2,2.2,3.1,70.1,0.0,0.0,0.0,0.7,1.4,53.3,1.2,1.3,2.5,0.5,1.3,0.3,2.3,0.7,5.1
Denzel Valentine,26,11/16/93,"Lansing, MI",Michigan State,2,c4d7526e039e65ad70ba53e87bdf2051,,https://a.espncdn.com/i/headshots/nba/players/full/2999549.png,76.0,2999549,45,Denzel Valentine,SG,3377569.0,chicago-bulls,s:40~l:46~a:2999549,220.0,170.0,42.0,20.9,2.9,7.3,40.1,1.5,4.2,36.6,0.3,0.5,75.3,0.4,3.2,3.6,2.1,0.1,0.7,1.9,1.0,7.8
Kris Dunn,26,03/18/94,"New London, CT",Providence,3,3bf37b82bc22d8827cfa0092b896e87a,,https://a.espncdn.com/i/headshots/nba/players/full/2991139.png,75.0,2991139,32,Kris Dunn,SF,5348007.0,chicago-bulls,s:40~l:46~a:2991139,205.0,227.0,126.0,24.3,3.4,8.0,42.2,0.6,1.8,30.6,0.9,1.3,72.6,0.4,3.0,3.3,4.2,0.4,1.5,3.0,1.8,8.3
Lauri Markkanen,22,05/22/97,Finland,Arizona,2,87ff7f1be52ab236308c878d12df8446,,https://a.espncdn.com/i/headshots/nba/players/full/4066336.png,84.0,4066336,24,Lauri Markkanen,PF,5300400.0,chicago-bulls,s:40~l:46~a:4066336,240.0,170.0,169.0,30.6,5.7,13.2,43.0,2.2,6.2,35.6,2.6,3.0,84.8,1.3,6.3,7.6,1.3,0.6,0.7,1.9,1.5,16.1
Luke Kornet,24,07/15/95,"Lantana, TX",Vanderbilt,2,7a7e5cbb08080a1108e45b50144abcb9,R,https://a.espncdn.com/i/headshots/nba/players/full/3064560.png,86.0,3064560,2,Luke Kornet,C,2250000.0,chicago-bulls,s:40~l:46~a:3064560,250.0,102.0,33.0,16.4,2.3,5.8,40.0,1.3,3.7,33.9,0.6,0.8,77.6,0.6,2.2,2.8,1.1,0.8,0.4,1.2,0.5,6.6
Max Strus,24,03/28/96,"Hickory Hills, IL",DePaul,0,ac438cf4ae0c8aec7efca048bfe3df5b,,https://a.espncdn.com/i/headshots/nba/players/full/4065778.png,77.0,4065778,28,Max Strus,SG,898310.0,chicago-bulls,s:40~l:46~a:4065778,215.0,2.0,0.0,3.0,1.0,1.5,66.7,0.0,0.5,0.0,0.5,0.5,100.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2.5
Ryan Arcidiacono,26,03/26/94,"Philadelphia, PA",Villanova,2,94e5307f37c4541f3491eef33255c48c,,https://a.espncdn.com/i/headshots/nba/players/full/2991047.png,75.0,2991047,51,Ryan Arcidiacono,PG,3000000.0,chicago-bulls,s:40~l:46~a:2991047,195.0,163.0,36.0,19.6,1.8,4.2,43.3,0.9,2.4,37.3,0.7,0.9,82.9,0.3,1.9,2.2,2.5,0.0,0.6,1.7,0.7,5.2
Shaquille Harrison,26,10/06/93,"Kansas City, MO",Tulsa,2,586e47d577d48fcc96c79f32b62dffb0,B,https://a.espncdn.com/i/headshots/nba/players/full/2991274.png,79.0,2991274,3,Shaquille Harrison,PG,1620564.0,chicago-bulls,s:40~l:46~a:2991274,190.0,139.0,23.0,16.5,2.3,5.1,44.8,0.3,1.1,29.3,1.1,1.5,70.6,0.5,2.2,2.7,1.7,0.4,1.1,1.6,0.7,6.0
Thaddeus Young,31,06/21/88,"New Orleans, LA",Georgia Tech,12,2f6738bf131716a49fb244464533ef77,,https://a.espncdn.com/i/headshots/nba/players/full/3244.png,80.0,3244,21,Thaddeus Young,PF,12900000.0,chicago-bulls,s:40~l:46~a:3244,235.0,965.0,687.0,30.3,5.7,11.4,49.8,0.5,1.5,33.3,1.3,2.0,67.0,2.0,3.9,5.9,1.7,0.4,1.5,2.2,1.4,13.2
Tomas Satoransky,28,10/30/91,,,3,42b1cdebf3b717ab634e04546db551d3,,https://a.espncdn.com/i/headshots/nba/players/full/6621.png,79.0,6621,31,Tomas Satoransky,SG,10000000.0,chicago-bulls,s:40~l:46~a:6621,210.0,275.0,151.0,23.3,2.7,5.9,46.9,0.7,1.8,36.9,1.2,1.5,81.7,0.9,2.2,3.1,4.1,0.1,0.9,1.8,1.3,7.4
Zach LaVine,25,03/10/95,"Renton, WA",UCLA,5,dba79cae3f61b87b37d9223f39b4f516,,https://a.espncdn.com/i/headshots/nba/players/full/3064440.png,78.0,3064440,8,Zach LaVine,PG,19500000.0,chicago-bulls,s:40~l:46~a:3064440,200.0,353.0,266.0,30.8,6.4,14.3,44.7,1.8,4.9,37.5,3.1,3.8,81.9,0.5,3.2,3.6,3.6,0.3,1.0,2.2,2.5,17.7
Alfonzo McKinnie,27,09/17/92,"Chicago, IL",Green Bay,2,44e778aa8c7a0433437b1ac7a6e513a7,,https://a.espncdn.com/i/headshots/nba/players/full/2530923.png,79.0,2530923,28,Alfonzo McKinnie,SF,1500000.0,cleveland-cavaliers,s:40~l:46~a:2530923,215.0,126.0,6.0,13.1,1.7,3.7,46.6,0.5,1.5,30.7,0.4,0.7,62.2,0.9,2.0,2.9,0.4,0.2,0.3,1.7,0.5,4.3
Andre Drummond,26,08/10/93,"Mount Vernon, NY",Connecticut,7,355269b721fc8104b40ed7c81ec96c9a,B,https://a.espncdn.com/i/headshots/nba/players/full/6585.png,82.0,6585,3,Andre Drummond,C,27093019.0,cleveland-cavaliers,s:40~l:46~a:6585,279.0,599.0,548.0,31.0,6.1,11.3,54.2,0.0,0.2,14.6,2.2,4.8,46.1,4.8,9.1,13.8,1.3,1.6,1.4,3.2,2.0,14.5
Ante Zizic,23,01/04/97,Croatia,,2,589d0f89c59df7efde145fc1eb01ae8d,,https://a.espncdn.com/i/headshots/nba/players/full/4017838.png,82.0,4017838,41,Ante Zizic,C,2281800.0,cleveland-cavaliers,s:40~l:46~a:4017838,266.0,113.0,27.0,13.4,2.4,4.2,58.1,0.0,0.0,0.0,1.1,1.6,71.1,1.3,2.6,3.9,0.6,0.4,0.2,1.5,0.7,6.0
Cedi Osman,24,04/08/95,,,2,be7138086bafa64b5818706e688bbd9f,,https://a.espncdn.com/i/headshots/nba/players/full/3893016.png,79.0,3893016,16,Cedi Osman,SF,2907143.0,cleveland-cavaliers,s:40~l:46~a:3893016,230.0,202.0,152.0,24.9,3.5,8.1,43.7,1.4,3.9,36.4,1.1,1.6,71.7,0.5,3.0,3.5,1.9,0.1,0.7,2.1,1.2,9.6
Collin Sexton,21,01/04/99,"Marietta, GA",Alabama,1,2a6515dd67707eac2141de08448a6905,R,https://a.espncdn.com/i/headshots/nba/players/full/4277811.png,73.0,4277811,2,Collin Sexton,PG,4764960.0,cleveland-cavaliers,s:40~l:46~a:4277811,190.0,147.0,137.0,32.3,7.0,15.6,45.0,1.5,3.7,39.2,3.0,3.6,84.3,0.8,2.2,3.0,3.0,0.1,0.7,2.2,2.3,18.5
Dante Exum,24,07/13/95,Australia,,4,57104556fd32d3fba0c06aac09f6d133,L,https://a.espncdn.com/i/headshots/nba/players/full/3102528.png,77.0,3102528,1,Dante Exum,PG,9600000.0,cleveland-cavaliers,s:40~l:46~a:3102528,214.0,239.0,69.0,18.5,2.1,5.1,40.7,0.7,2.2,30.8,0.8,1.1,76.6,0.4,1.4,1.8,2.1,0.2,0.4,1.8,1.3,5.7
Darius Garland,20,01/26/00,"Gary, IN",Vanderbilt,0,eb092265024f98407f49507cfcab5aab,,https://a.espncdn.com/i/headshots/nba/players/full/4396907.png,73.0,4396907,10,Darius Garland,PG,6400920.0,cleveland-cavaliers,s:40~l:46~a:4396907,192.0,59.0,59.0,30.9,4.7,11.8,40.1,1.8,5.0,35.5,1.1,1.2,87.5,0.5,1.4,1.9,3.9,0.1,0.7,1.6,2.6,12.3
Dean Wade,23,11/20/96,"Wichita, KS",Kansas State,0,cca4925251b9e1da48ac382f040cd2b4,,https://a.espncdn.com/i/headshots/nba/players/full/3912848.png,81.0,3912848,32,Dean Wade,PF,0.0,cleveland-cavaliers,s:40~l:46~a:3912848,228.0,12.0,0.0,5.9,0.8,1.1,69.2,0.2,0.3,50.0,0.0,0.1,0.0,0.3,1.3,1.6,0.2,0.3,0.2,0.7,0.3,1.7
Dylan Windler,23,09/22/96,"Indianapolis, IN",Belmont,0,0e43f8d479f03cfe65c3c7629b9a7f96,,https://a.espncdn.com/i/headshots/nba/players/full/3906786.png,78.0,3906786,9,Dylan Windler,SG,2035800.0,cleveland-cavaliers,s:40~l:46~a:3906786,196.0,,,,,,,,,,,,,,,,,,,,,
Kevin Love,31,09/07/88,"Santa Monica, CA",UCLA,11,802592a4e4466d2c7ca04d4f1e21424b,,https://a.espncdn.com/i/headshots/nba/players/full/3449.png,80.0,3449,0,Kevin Love,PF,28942830.0,cleveland-cavaliers,s:40~l:46~a:3449,251.0,713.0,630.0,32.0,6.0,13.6,44.2,1.7,4.6,37.0,4.5,5.4,82.8,2.8,8.4,11.1,2.4,0.5,0.7,2.1,2.0,18.2
Marques Bolden,21,04/17/98,"Desoto, TX",Duke,0,e5affcdca7cb786040276b1d2c7b4eaa,,https://a.espncdn.com/i/headshots/nba/players/full/4065652.png,82.0,4065652,5,Marques Bolden,C,,cleveland-cavaliers,s:40~l:46~a:4065652,249.0,,,,,,,,,,,,,,,,,,,,,
Matt Mooney,25,02/07/95,,Texas Tech,0,3771779425a753f415750a6ebc771c6b,,https://a.espncdn.com/i/headshots/nba/players/full/3149036.png,75.0,3149036,31,Matt Mooney,SG,0.0,cleveland-cavaliers,s:40~l:46~a:3149036,200.0,4.0,0.0,4.8,0.3,1.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.3,0.5,0.3,0.0,0.5
Matthew Dellavedova,29,09/08/90,Australia,Saint Mary's,6,1a599a9bd48f41f6d3c6cb6730d431c3,,https://a.espncdn.com/i/headshots/nba/players/full/2489716.png,75.0,2489716,18,Matthew Dellavedova,PG,9607500.0,cleveland-cavaliers,s:40~l:46~a:2489716,200.0,434.0,92.0,20.4,2.0,5.1,38.9,0.9,2.5,36.8,0.7,0.8,83.8,0.4,1.4,1.8,3.7,0.0,0.5,1.9,1.3,5.6
Sheldon Mac,27,12/21/92,"Houston, TX",Miami (FL),1,9b7e57e0e37c29d7e7664eae754b3369,,https://a.espncdn.com/i/headshots/nba/players/full/2594885.png,78.0,2594885,5,Sheldon Mac,SG,,cleveland-cavaliers,s:40~l:46~a:2594885,201.0,30.0,3.0,9.6,1.0,2.5,40.0,0.2,1.0,23.3,0.8,0.9,85.2,0.1,1.0,1.1,0.5,0.1,0.3,0.6,0.2,3.0
Tristan Thompson,29,03/13/91,"Toronto, ON",Texas,8,3a17515023defe0b9258ab5ab8808609,,https://a.espncdn.com/i/headshots/nba/players/full/6474.png,81.0,6474,13,Tristan Thompson,C,18539130.0,cleveland-cavaliers,s:40~l:46~a:6474,254.0,619.0,429.0,28.1,3.8,7.3,51.8,0.0,0.1,28.1,1.8,3.0,61.0,3.4,5.3,8.7,1.0,0.7,0.5,2.3,1.2,9.4
Blake Griffin,31,03/16/89,"Oklahoma City, OK",Oklahoma,9,11228b90c481c822db3135ddfe61ab84,,https://a.espncdn.com/i/headshots/nba/players/full/3989.png,81.0,3989,23,Blake Griffin,PF,34449964.0,detroit-pistons,s:40~l:46~a:3989,250.0,622.0,622.0,34.8,8.1,16.3,49.8,0.7,2.0,33.3,4.8,6.9,69.4,2.2,6.7,8.8,4.4,0.5,0.9,2.9,2.6,21.7
Brandon Knight,28,12/02/91,"Miami, FL",Kentucky,7,5dcfff48a935586f9ad5112671a34c05,,https://a.espncdn.com/i/headshots/nba/players/full/6448.png,74.0,6448,20,Brandon Knight,PG,15643750.0,detroit-pistons,s:40~l:46~a:6448,182.0,446.0,349.0,29.5,5.0,12.3,41.1,1.6,4.5,35.3,2.4,2.9,80.6,0.5,2.6,3.1,4.0,0.2,0.9,2.0,2.4,14.1
Bruce Brown,23,08/15/96,"Boston, MA",Miami (FL),1,58b07122067e1153355b9bb5309d7624,,https://a.espncdn.com/i/headshots/nba/players/full/4065670.png,76.0,4065670,6,Bruce Brown,SG,1416852.0,detroit-pistons,s:40~l:46~a:4065670,202.0,132.0,99.0,23.4,2.4,5.8,42.4,0.4,1.4,30.2,1.0,1.4,74.3,0.8,2.7,3.5,2.4,0.5,0.8,2.6,1.1,6.3
Christian Wood,24,09/27/95,"Long Beach, CA",UNLV,3,4761286afeb82ea2d371dbf677ddf5eb,,https://a.espncdn.com/i/headshots/nba/players/full/3058254.png,82.0,3058254,35,Christian Wood,PF,1645357.0,detroit-pistons,s:40~l:46~a:3058254,214.0,113.0,14.0,16.2,3.4,6.2,54.6,0.6,1.6,36.8,2.2,3.0,73.4,1.3,3.5,4.8,0.6,0.7,0.4,1.2,1.0,9.5
Derrick Rose,31,10/04/88,"Chicago, IL",Memphis,10,c5594432c72be14dceab0caadd6fe342,,https://a.espncdn.com/i/headshots/nba/players/full/3456.png,74.0,3456,25,Derrick Rose,PG,7317073.0,detroit-pistons,s:40~l:46~a:3456,200.0,596.0,504.0,32.6,7.3,16.1,45.6,0.8,2.6,30.4,3.3,4.0,82.7,0.8,2.6,3.4,5.6,0.3,0.8,1.3,2.6,18.8
Donta Hall,22,08/07/97,,Alabama,0,4155f8682358fc3101be02e46bb3eb51,,https://a.espncdn.com/i/headshots/nba/players/full/3907408.png,81.0,3907408,42,Donta Hall,PF,,detroit-pistons,s:40~l:46~a:3907408,229.0,4.0,0.0,12.0,0.3,1.0,25.0,0.0,0.0,0.0,1.0,1.5,66.7,1.5,2.3,3.8,0.5,0.3,0.3,2.3,0.5,1.5
John Henson,29,12/28/90,"Greensboro, NC",North Carolina,7,912121b4c4300e84382125534250a7b6,,https://a.espncdn.com/i/headshots/nba/players/full/6592.png,81.0,6592,31,John Henson,PF,9732396.0,detroit-pistons,s:40~l:46~a:6592,219.0,445.0,160.0,19.7,3.2,6.0,54.0,0.0,0.2,25.0,1.1,1.9,56.8,1.8,3.5,5.3,1.1,1.4,0.5,2.2,1.1,7.6
Jordan Bone,22,11/05/97,"Nashville, TN",Tennessee,0,3decf4dd5dc8950b75f11d9b35533340,,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,75.0,4066212,18,Jordan Bone,PG,0.0,detroit-pistons,s:40~l:46~a:4066212,180.0,10.0,0.0,5.3,0.5,2.0,25.0,0.2,1.0,20.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,0.0,0.1,0.6,0.2,1.2
Jordan McRae,29,03/28/91,"Savannah, GA",Tennessee,3,4542b39ac6a512548fb2255c92f0ffcd,,https://a.espncdn.com/i/headshots/nba/players/full/2531797.png,77.0,2531797,52,Jordan McRae,SG,1645357.0,detroit-pistons,s:40~l:46~a:2531797,179.0,123.0,9.0,13.8,2.5,5.9,41.7,0.7,1.9,35.5,1.3,1.7,77.2,0.3,1.6,1.8,1.4,0.2,0.4,1.2,0.7,6.9
Khyri Thomas,23,05/08/96,"Omaha, NE",Creighton,1,b44ad7f33705a325938846417b4100ea,,https://a.espncdn.com/i/headshots/nba/players/full/3912334.png,75.0,3912334,13,Khyri Thomas,SG,1416852.0,detroit-pistons,s:40~l:46~a:3912334,210.0,34.0,0.0,7.5,0.8,2.5,31.4,0.4,1.4,30.6,0.3,0.4,60.0,0.1,0.5,0.6,0.3,0.1,0.3,0.9,0.2,2.3
Langston Galloway,28,12/09/91,"Baton Rouge, LA",Saint Joseph's,5,b50de41e864be6fc3727133323b87fe0,,https://a.espncdn.com/i/headshots/nba/players/full/2530572.png,73.0,2530572,9,Langston Galloway,SG,7333333.0,detroit-pistons,s:40~l:46~a:2530572,200.0,405.0,62.0,23.0,3.0,7.7,39.6,1.5,4.0,36.7,1.0,1.2,81.0,0.5,2.1,2.6,1.7,0.2,0.7,1.7,0.6,8.5
Louis King,20,04/06/99,"Secaucus, NJ",Oregon,0,891b790360f1506e4482d61fcfcb9090,,https://a.espncdn.com/i/headshots/nba/players/full/4397103.png,79.0,4397103,14,Louis King,SF,0.0,detroit-pistons,s:40~l:46~a:4397103,205.0,10.0,0.0,6.2,0.8,2.1,38.1,0.4,1.1,36.4,0.0,0.3,0.0,0.1,0.9,1.0,0.5,0.0,0.2,1.0,0.2,2.0
Luke Kennard,23,06/24/96,"Middletown, OH",Duke,2,668a6a144003d79cc2520ece0a960d36,,https://a.espncdn.com/i/headshots/nba/players/full/3913174.png,77.0,3913174,5,Luke Kennard,SG,3827160.0,detroit-pistons,s:40~l:46~a:3913174,206.0,164.0,44.0,23.3,3.6,8.1,44.1,1.6,3.9,40.2,1.1,1.3,86.3,0.3,2.5,2.8,2.2,0.2,0.5,1.5,1.0,9.8
Sekou Doumbouya,19,12/23/00,,,0,52e205c7d29c2a94462d83f440603d9e,,https://a.espncdn.com/i/headshots/nba/players/full/4423314.png,80.0,4423314,45,Sekou Doumbouya,SF,3285120.0,detroit-pistons,s:40~l:46~a:4423314,230.0,38.0,19.0,19.8,2.4,6.2,39.0,0.7,2.6,28.6,0.8,1.2,67.4,0.5,2.6,3.1,0.5,0.2,0.5,2.1,0.9,6.4
Sviatoslav Mykhailiuk,22,06/10/97,Ukraine,Kansas,1,42c1431482abe530625f862388fee382,,https://a.espncdn.com/i/headshots/nba/players/full/3133602.png,79.0,3133602,19,Sviatoslav Mykhailiuk,SG,1416852.0,detroit-pistons,s:40~l:46~a:3133602,205.0,98.0,27.0,17.4,2.2,5.6,38.9,1.5,3.8,38.5,0.7,0.9,76.7,0.3,1.2,1.4,1.5,0.1,0.6,1.1,0.8,6.5
Thon Maker,23,02/25/97,,,3,e03196fc321dfe0c5217d364d48fce1d,,https://a.espncdn.com/i/headshots/nba/players/full/4017843.png,84.0,4017843,7,Thon Maker,C,3569643.0,detroit-pistons,s:40~l:46~a:4017843,221.0,255.0,65.0,13.9,1.6,3.8,43.3,0.5,1.5,32.9,0.9,1.3,67.3,0.8,2.0,2.8,0.6,0.7,0.4,1.8,0.5,4.7
Tony Snell,28,11/10/91,"Riverside, CA",New Mexico,6,634c1dd6641d4fd96a8a685d8507f32e,,https://a.espncdn.com/i/headshots/nba/players/full/2528353.png,78.0,2528353,17,Tony Snell,SF,11392857.0,detroit-pistons,s:40~l:46~a:2528353,213.0,501.0,275.0,22.5,2.4,5.5,42.8,1.2,3.2,38.5,0.5,0.6,83.8,0.3,2.0,2.3,1.2,0.2,0.5,1.4,0.6,6.5
