,age,birthDate,birthPlace,college,experience,guid,hand,headshot,height,id,jersey,lastName,position,salary,team,uid,weight
Cedi Osman,24,04/08/95,,,2,be7138086bafa64b5818706e688bbd9f,,https://a.espncdn.com/i/headshots/nba/players/full/3893016.png,"6' 7""",3893016,16,Cedi Osman,SF,"$2,907,143",cleveland-cavaliers,s:40~l:46~a:3893016,230 lbs
Collin Sexton,21,01/04/99,"Marietta, GA",Alabama,1,2a6515dd67707eac2141de08448a6905,R,https://a.espncdn.com/i/headshots/nba/players/full/4277811.png,"6' 1""",4277811,2,Collin Sexton,PG,"$4,764,960",cleveland-cavaliers,s:40~l:46~a:4277811,190 lbs
Dante Exum,24,07/13/95,Australia,,4,57104556fd32d3fba0c06aac09f6d133,L,https://a.espncdn.com/i/headshots/nba/players/full/3102528.png,"6' 5""",3102528,1,Dante Exum,PG,"$9,600,000",cleveland-cavaliers,s:40~l:46~a:3102528,214 lbs
Darius Garland,20,01/26/00,"Gary, IN",Vanderbilt,0,eb092265024f98407f49507cfcab5aab,,https://a.espncdn.com/i/headshots/nba/players/full/4396907.png,"6' 1""",4396907,10,Darius Garland,PG,"$6,400,920",cleveland-cavaliers,s:40~l:46~a:4396907,192 lbs
Dean Wade,23,11/20/96,"Wichita, KS",Kansas State,0,cca4925251b9e1da48ac382f040cd2b4,,https://a.espncdn.com/i/headshots/nba/players/full/3912848.png,"6' 9""",3912848,32,Dean Wade,PF,0,cleveland-cavaliers,s:40~l:46~a:3912848,228 lbs
Dylan Windler,23,09/22/96,"Indianapolis, IN",Belmont,0,0e43f8d479f03cfe65c3c7629b9a7f96,,https://a.espncdn.com/i/headshots/nba/players/full/3906786.png,"6' 6""",3906786,9,Dylan Windler,SG,"$2,035,800",cleveland-cavaliers,s:40~l:46~a:3906786,196 lbs
Kevin Love,31,09/07/88,"Santa Monica, CA",UCLA,11,802592a4e4466d2c7ca04d4f1e21424b,,https://a.espncdn.com/i/headshots/nba/players/full/3449.png,"6' 8""",3449,0,Kevin Love,PF,"$28,942,830",cleveland-cavaliers,s:40~l:46~a:3449,251 lbs
Marques Bolden,21,04/17/98,"Desoto, TX",Duke,0,e5affcdca7cb786040276b1d2c7b4eaa,,https://a.espncdn.com/i/headshots/nba/players/full/4065652.png,"6' 10""",4065652,5,Marques Bolden,C,,cleveland-cavaliers,s:40~l:46~a:4065652,249 lbs
Matt Mooney,25,02/07/95,,Texas Tech,0,3771779425a753f415750a6ebc771c6b,,https://a.espncdn.com/i/headshots/nba/players/full/3149036.png,"6' 3""",3149036,31,Matt Mooney,SG,0,cleveland-cavaliers,s:40~l:46~a:3149036,200 lbs
Matthew Dellavedova,29,09/08/90,Australia,Saint Mary's,6,1a599a9bd48f41f6d3c6cb6730d431c3,,https://a.espncdn.com/i/headshots/nba/players/full/2489716.png,"6' 3""",2489716,18,Matthew Dellavedova,PG,"$9,607,500",cleveland-cavaliers,s:40~l:46~a:2489716,200 lbs
Sheldon Mac,27,12/21/92,"Houston, TX",Miami (FL),1,9b7e57e0e37c29d7e7664eae754b3369,,https://a.espncdn.com/i/headshots/nba/players/full/2594885.png,"6' 6""",2594885,5,Sheldon Mac,SG,,cleveland-cavaliers,s:40~l:46~a:2594885,201 lbs
Tristan Thompson,29,03/13/91,"Toronto, ON",Texas,8,3a17515023defe0b9258ab5ab8808609,,https://a.espncdn.com/i/headshots/nba/players/full/6474.png,"6' 9""",6474,13,Tristan Thompson,C,"$18,539,130",cleveland-cavaliers,s:40~l:46~a:6474,254 lbs
Blake Griffin,31,03/16/89,"Oklahoma City, OK",Oklahoma,9,11228b90c481c822db3135ddfe61ab84,,https://a.espncdn.com/i/headshots/nba/players/full/3989.png,"6' 9""",3989,23,Blake Griffin,PF,"$34,449,964",detroit-pistons,s:40~l:46~a:3989,250 lbs
Brandon Knight,28,12/02/91,"Miami, FL",Kentucky,7,5dcfff48a935586f9ad5112671a34c05,,https://a.espncdn.com/i/headshots/nba/players/full/6448.png,"6' 2""",6448,20,Brandon Knight,PG,"$15,643,750",detroit-pistons,s:40~l:46~a:6448,182 lbs
Bruce Brown,23,08/15/96,"Boston, MA",Miami (FL),1,58b07122067e1153355b9bb5309d7624,,https://a.espncdn.com/i/headshots/nba/players/full/4065670.png,"6' 4""",4065670,6,Bruce Brown,SG,"$1,416,852",detroit-pistons,s:40~l:46~a:4065670,202 lbs
Christian Wood,24,09/27/95,"Long Beach, CA",UNLV,3,4761286afeb82ea2d371dbf677ddf5eb,,https://a.espncdn.com/i/headshots/nba/players/full/3058254.png,"6' 10""",3058254,35,Christian Wood,PF,"$1,645,357",detroit-pistons,s:40~l:46~a:3058254,214 lbs
Derrick Rose,31,10/04/88,"Chicago, IL",Memphis,10,c5594432c72be14dceab0caadd6fe342,,https://a.espncdn.com/i/headshots/nba/players/full/3456.png,"6' 2""",3456,25,Derrick Rose,PG,"$7,317,073",detroit-pistons,s:40~l:46~a:3456,200 lbs
Donta Hall,22,08/07/97,,Alabama,0,4155f8682358fc3101be02e46bb3eb51,,https://a.espncdn.com/i/headshots/nba/players/full/3907408.png,"6' 9""",3907408,42,Donta Hall,PF,,detroit-pistons,s:40~l:46~a:3907408,229 lbs
John Henson,29,12/28/90,"Greensboro, NC",North Carolina,7,912121b4c4300e84382125534250a7b6,,https://a.espncdn.com/i/headshots/nba/players/full/6592.png,"6' 9""",6592,31,John Henson,PF,"$9,732,396",detroit-pistons,s:40~l:46~a:6592,219 lbs
Jordan Bone,22,11/05/97,"Nashville, TN",Tennessee,0,3decf4dd5dc8950b75f11d9b35533340,,https://a.espncdn.com/i/headshots/nba/players/full/4066212.png,"6' 3""",4066212,18,Jordan Bone,PG,0,detroit-pistons,s:40~l:46~a:4066212,180 lbs
Jordan McRae,28,03/28/91,"Savannah, GA",Tennessee,3,4542b39ac6a512548fb2255c92f0ffcd,,https://a.espncdn.com/i/headshots/nba/players/full/2531797.png,"6' 5""",2531797,52,Jordan McRae,SG,"$1,645,357",detroit-pistons,s:40~l:46~a:2531797,179 lbs
Khyri Thomas,23,05/08/96,"Omaha, NE",Creighton,1,b44ad7f33705a325938846417b4100ea,,https://a.espncdn.com/i/headshots/nba/players/full/3912334.png,"6' 3""",3912334,13,Khyri Thomas,SG,"$1,416,852",detroit-pistons,s:40~l:46~a:3912334,210 lbs
Langston Galloway,28,12/09/91,"Baton Rouge, LA",Saint Joseph's,5,b50de41e864be6fc3727133323b87fe0,,https://a.espncdn.com/i/headshots/nba/players/full/2530572.png,"6' 1""",2530572,9,Langston Galloway,SG,"$7,333,333",detroit-pistons,s:40~l:46~a:2530572,200 lbs
Louis King,20,04/06/99,"Secaucus, NJ",Oregon,0,891b790360f1506e4482d61fcfcb9090,,https://a.espncdn.com/i/headshots/nba/players/full/4397103.png,"6' 7""",4397103,14,Louis King,SF,0,detroit-pistons,s:40~l:46~a:4397103,205 lbs
Luke Kennard,23,06/24/96,"Middletown, OH",Duke,2,668a6a144003d79cc2520ece0a960d36,,https://a.espncdn.com/i/headshots/nba/players/full/3913174.png,"6' 5""",3913174,5,Luke Kennard,SG,"$3,827,160",detroit-pistons,s:40~l:46~a:3913174,206 lbs
Sekou Doumbouya,19,12/23/00,,,0,52e205c7d29c2a94462d83f440603d9e,,https://a.espncdn.com/i/headshots/nba/players/full/4423314.png,"6' 8""",4423314,45,Sekou Doumbouya,SF,"$3,285,120",detroit-pistons,s:40~l:46~a:4423314,230 lbs
Sviatoslav Mykhailiuk,22,06/10/97,Ukraine,Kansas,1,42c1431482abe530625f862388fee382,,https://a.espncdn.com/i/headshots/nba/players/full/3133602.png,"6' 7""",3133602,19,Sviatoslav Mykhailiuk,SG,"$1,416,852",detroit-pistons,s:40~l:46~a:3133602,205 lbs
Thon Maker,23,02/25/97,,,3,e03196fc321dfe0c5217d364d48fce1d,,https://a.espncdn.com/i/headshots/nba/players/full/4017843.png,"7' 0""",4017843,7,Thon Maker,C,"$3,569,643",detroit-pistons,s:40~l:46~a:4017843,221 lbs
Tony Snell,28,11/10/91,"Riverside, CA",New Mexico,6,634c1dd6641d4fd96a8a685d8507f32e,,https://a.espncdn.com/i/headshots/nba/players/full/2528353.png,"6' 6""",2528353,17,Tony Snell,SF,"$11,392,857",detroit-pistons,s:40~l:46~a:2528353,213 lbs
Aaron Holiday,23,09/30/96,"Ruston, LA",UCLA,1,83305275d4dadbb2ee85003cba53cd23,B,https://a.espncdn.com/i/headshots/nba/players/full/3922230.png,"6' 0""",3922230,3,Aaron Holiday,PG,"$2,329,200",indiana-pacers,s:40~l:46~a:3922230,185 lbs
Alize Johnson,23,04/22/96,"Williamsport, PA",Missouri State,1,e0895f863fdb91f94d0fc6c6c0f5241f,,https://a.espncdn.com/i/headshots/nba/players/full/4067045.png,"6' 7""",4067045,24,Alize Johnson,PF,"$1,416,852",indiana-pacers,s:40~l:46~a:4067045,212 lbs
Domantas Sabonis,23,05/03/96,"Portland, OR",Gonzaga,3,c2eb1a1778092cc63fa77a5e63654ae4,,https://a.espncdn.com/i/headshots/nba/players/full/3155942.png,"6' 11""",3155942,11,Domantas Sabonis,PF,"$3,529,555",indiana-pacers,s:40~l:46~a:3155942,240 lbs
Doug McDermott,28,01/03/92,"Grand Forks, ND",Creighton,5,a0c3d73548472320d1115b2d023b4bed,,https://a.espncdn.com/i/headshots/nba/players/full/2528588.png,"6' 7""",2528588,20,Doug McDermott,SF,"$7,333,333",indiana-pacers,s:40~l:46~a:2528588,225 lbs
Edmond Sumner,24,12/31/95,"Detroit, MI",Xavier,2,1c24a71c12d57354ba17a5001e496258,,https://a.espncdn.com/i/headshots/nba/players/full/3136485.png,"6' 4""",3136485,5,Edmond Sumner,PG,"$2,000,000",indiana-pacers,s:40~l:46~a:3136485,196 lbs
Goga Bitadze,20,07/20/99,,,0,da823cfca5b0d5e844c819017b7cd254,,https://a.espncdn.com/i/headshots/nba/players/full/4348700.png,"6' 11""",4348700,88,Goga Bitadze,C,"$2,816,760",indiana-pacers,s:40~l:46~a:4348700,250 lbs
JaKarr Sampson,27,03/20/93,"Cleveland, OH",St. John's,4,ad113c624ca260de61c7150368291ca4,,https://a.espncdn.com/i/headshots/nba/players/full/2608891.png,"6' 7""",2608891,14,JaKarr Sampson,SF,"$1,620,564",indiana-pacers,s:40~l:46~a:2608891,214 lbs
Jeremy Lamb,27,05/30/92,,Connecticut,7,56d5d9aeef2af6d59d68827057b3d555,,https://a.espncdn.com/i/headshots/nba/players/full/6603.png,"6' 5""",6603,26,Jeremy Lamb,SG,"$10,500,000",indiana-pacers,s:40~l:46~a:6603,180 lbs
Justin Holiday,30,04/05/89,"Mission Hills, CA",Washington,6,83420c020109914a7f116ec5cecf426b,,https://a.espncdn.com/i/headshots/nba/players/full/2284101.png,"6' 6""",2284101,8,Justin Holiday,SF,"$4,767,000",indiana-pacers,s:40~l:46~a:2284101,180 lbs
Malcolm Brogdon,27,12/11/92,"Atlanta, GA",Virginia,3,db29ba54f3bd2b6aebaebe0633291ab0,,https://a.espncdn.com/i/headshots/nba/players/full/2566769.png,"6' 5""",2566769,7,Malcolm Brogdon,PG,"$20,000,000",indiana-pacers,s:40~l:46~a:2566769,229 lbs
Myles Turner,23,03/24/96,"Bedford, TX",Texas,4,a61d70b4d54433c83eb9aa6e5074f97e,,https://a.espncdn.com/i/headshots/nba/players/full/3133628.png,"6' 11""",3133628,33,Myles Turner,C,"$18,000,000",indiana-pacers,s:40~l:46~a:3133628,250 lbs
Victor Oladipo,27,05/04/92,,Indiana,6,c398807055caf4c7989f435301d61d59,,https://a.espncdn.com/i/headshots/nba/players/full/2527963.png,"6' 4""",2527963,4,Victor Oladipo,SG,"$21,000,000",indiana-pacers,s:40~l:46~a:2527963,213 lbs
Brook Lopez,31,04/01/88,"North Hollywood, CA",Stanford,11,3496fbc1fa88c3327f91f015006e0c8b,,https://a.espncdn.com/i/headshots/nba/players/full/3448.png,"7' 0""",3448,11,Brook Lopez,C,"$12,093,023",milwaukee-bucks,s:40~l:46~a:3448,282 lbs
Cameron Reynolds,25,02/07/95,"Pearland, TX",Tulane,1,ef7c6f5d0fdbf2df111991c15e43b78f,,https://a.espncdn.com/i/headshots/nba/players/full/3057240.png,"6' 7""",3057240,13,Cameron Reynolds,SG,0,milwaukee-bucks,s:40~l:46~a:3057240,225 lbs
Donte DiVincenzo,23,01/31/97,"Newark, DE",Villanova,1,a74f63531678ff6ecab1ed9cf5300189,,https://a.espncdn.com/i/headshots/nba/players/full/3934673.png,"6' 4""",3934673,0,Donte DiVincenzo,SG,"$2,905,800",milwaukee-bucks,s:40~l:46~a:3934673,203 lbs
Eric Bledsoe,30,12/09/89,"Birmingham, AL",Kentucky,9,6ea0d15aaed36cb07413e47e5f04ddcf,,https://a.espncdn.com/i/headshots/nba/players/full/4238.png,"6' 1""",4238,6,Eric Bledsoe,PG,"$15,625,000",milwaukee-bucks,s:40~l:46~a:4238,214 lbs
Ersan Ilyasova,32,05/15/87,Turkey,,11,278719503e89f93c1c769634dd8b566a,,https://a.espncdn.com/i/headshots/nba/players/full/2767.png,"6' 9""",2767,7,Ersan Ilyasova,PF,"$7,000,000",milwaukee-bucks,s:40~l:46~a:2767,235 lbs
George Hill,33,05/04/86,"Indianapolis, IN",IUPUI,11,abbae422d49b1fd68bde67f49bfa6043,B,https://a.espncdn.com/i/headshots/nba/players/full/3438.png,"6' 3""",3438,3,George Hill,PG,"$9,133,907",milwaukee-bucks,s:40~l:46~a:3438,188 lbs
Giannis Antetokounmpo,25,12/06/94,Greece,,6,00985054c4b34247e825ddf062d457c3,,https://a.espncdn.com/i/headshots/nba/players/full/3032977.png,"6' 11""",3032977,34,Giannis Antetokounmpo,PF,"$25,842,697",milwaukee-bucks,s:40~l:46~a:3032977,242 lbs
Khris Middleton,28,08/12/91,"Charleston, SC",Texas A&M,7,948da849027fed39e7eecc3bb48c620d,,https://a.espncdn.com/i/headshots/nba/players/full/6609.png,"6' 7""",6609,22,Khris Middleton,SF,"$30,603,448",milwaukee-bucks,s:40~l:46~a:6609,222 lbs
Kyle Korver,39,03/17/81,"Lakewood, CA",Creighton,16,2fe5c94c8cf1d9bc0648aeec431cb35d,,https://a.espncdn.com/i/headshots/nba/players/full/2011.png,"6' 7""",2011,26,Kyle Korver,SG,"$1,620,564",milwaukee-bucks,s:40~l:46~a:2011,212 lbs
Marvin Williams,33,06/19/86,"Bremerton, WA",North Carolina,14,b7b368bbeacf33e5697de866801cef7b,,https://a.espncdn.com/i/headshots/nba/players/full/2797.png,"6' 8""",2797,20,Marvin Williams,PF,"$604,278",milwaukee-bucks,s:40~l:46~a:2797,237 lbs
Pat Connaughton,27,01/06/93,"Arlington, MA",Notre Dame,4,d87adcb487364ba7a188250127546a89,,https://a.espncdn.com/i/headshots/nba/players/full/2578239.png,"6' 5""",2578239,24,Pat Connaughton,SG,"$1,723,050",milwaukee-bucks,s:40~l:46~a:2578239,209 lbs
Robin Lopez,31,04/01/88,"North Hollywood, CA",Stanford,11,e42d29743d0f4d62b872ce6f536f237a,,https://a.espncdn.com/i/headshots/nba/players/full/3447.png,"7' 0""",3447,42,Robin Lopez,C,"$4,767,000",milwaukee-bucks,s:40~l:46~a:3447,281 lbs
Sterling Brown,25,02/10/95,"Maywood, IL",SMU,2,615c98cca85ff2d2a5350bf623868694,,https://a.espncdn.com/i/headshots/nba/players/full/3057187.png,"6' 5""",3057187,23,Sterling Brown,SG,"$1,618,520",milwaukee-bucks,s:40~l:46~a:3057187,219 lbs
Thanasis Antetokounmpo,27,07/18/92,Greece,,1,3218b3eec26c996360e165a95d366853,,https://a.espncdn.com/i/headshots/nba/players/full/3102533.png,"6' 6""",3102533,43,Thanasis Antetokounmpo,SF,"$1,445,697",milwaukee-bucks,s:40~l:46~a:3102533,219 lbs
Wesley Matthews,33,10/14/86,"San Antonio, TX",Marquette,10,df1a0c3c2479209a1cdbe19ca2cee202,,https://a.espncdn.com/i/headshots/nba/players/full/4032.png,"6' 4""",4032,9,Wesley Matthews,SG,"$2,564,753",milwaukee-bucks,s:40~l:46~a:4032,220 lbs
Brandon Goodwin,24,10/02/95,"Columbia, SC",Florida Gulf Coast,1,4ecb729aebab9e028970f52f3007f4a0,,https://a.espncdn.com/i/headshots/nba/players/full/3057198.png,"6' 0""",3057198,0,Brandon Goodwin,PG,"$522,738",atlanta-hawks,s:40~l:46~a:3057198,180 lbs
Bruno Fernando,21,08/15/98,,Maryland,0,465ffa1c3052ed98de645faa61798a6d,,https://a.espncdn.com/i/headshots/nba/players/full/4277952.png,"6' 9""",4277952,24,Bruno Fernando,C,"$1,400,000",atlanta-hawks,s:40~l:46~a:4277952,240 lbs
Cam Reddish,20,09/01/99,"Norristown, PA",Duke,0,e03c77d2fb3ee0fbc227ee9a35aa1aa9,,https://a.espncdn.com/i/headshots/nba/players/full/4395627.png,"6' 8""",4395627,22,Cam Reddish,SG,"$4,245,720",atlanta-hawks,s:40~l:46~a:4395627,218 lbs
Clint Capela,25,05/18/94,Switzerland,,5,795d3c2071389c79aecd02ce8fe56558,,https://a.espncdn.com/i/headshots/nba/players/full/3102529.png,"6' 10""",3102529,17,Clint Capela,C,"$14,896,552",atlanta-hawks,s:40~l:46~a:3102529,240 lbs
Damian Jones,24,06/30/95,"Baton Rouge, LA",Vanderbilt,3,56efcebd5649df81b4584d4a7ef2f59b,,https://a.espncdn.com/i/headshots/nba/players/full/3064559.png,"6' 11""",3064559,30,Damian Jones,C,"$2,305,057",atlanta-hawks,s:40~l:46~a:3064559,245 lbs
Dewayne Dedmon,30,08/12/89,"Lancaster, CA",USC,6,862e6532863f2f630dde554db031adcd,,https://a.espncdn.com/i/headshots/nba/players/full/2580913.png,"7' 0""",2580913,14,Dewayne Dedmon,C,"$13,333,333",atlanta-hawks,s:40~l:46~a:2580913,245 lbs
Jeff Teague,31,06/10/88,"Indianapolis, IN",Wake Forest,10,830be2980bf5d81541dfd2cf6411d01b,,https://a.espncdn.com/i/headshots/nba/players/full/4015.png,"6' 3""",4015,00,Jeff Teague,PG,"$19,000,000",atlanta-hawks,s:40~l:46~a:4015,195 lbs
John Collins,22,09/23/97,"Layton, UT",Wake Forest,2,796e45a0b375dfdfc240b7550add4966,,https://a.espncdn.com/i/headshots/nba/players/full/3908845.png,"6' 9""",3908845,20,John Collins,PF,"$2,686,560",atlanta-hawks,s:40~l:46~a:3908845,235 lbs
Kevin Huerter,21,08/27/98,"Albany, NY",Maryland,1,96dd28ae3e67340195f596693f737892,B,https://a.espncdn.com/i/headshots/nba/players/full/4066372.png,"6' 7""",4066372,3,Kevin Huerter,SG,"$2,636,280",atlanta-hawks,s:40~l:46~a:4066372,190 lbs
Skal Labissiere,24,03/18/96,Haiti,Kentucky,3,4f3d86524defcc33363d133f1dc20cd6,,https://a.espncdn.com/i/headshots/nba/players/full/3936296.png,"6' 10""",3936296,7,Skal Labissiere,PF,"$2,338,847",atlanta-hawks,s:40~l:46~a:3936296,235 lbs
Trae Young,21,09/19/98,"Lubbock, TX",Oklahoma,1,5745cf6de0cb758560cd97f7891bbeef,,https://a.espncdn.com/i/headshots/nba/players/full/4277905.png,"6' 1""",4277905,11,Trae Young,PG,"$6,273,000",atlanta-hawks,s:40~l:46~a:4277905,180 lbs
Treveon Graham,26,10/28/93,"Washington, DC",Virginia Commonwealth,3,6965fb0eaf194944bf9487ebf2d59b87,R,https://a.espncdn.com/i/headshots/nba/players/full/2595231.png,"6' 5""",2595231,2,Treveon Graham,SG,"$1,645,357",atlanta-hawks,s:40~l:46~a:2595231,219 lbs
Vince Carter,43,01/26/77,"Daytona Beach, FL",North Carolina,21,b41883b9b15e09c6e17458adb1e38290,,https://a.espncdn.com/i/headshots/nba/players/full/136.png,"6' 6""",136,15,Vince Carter,SG,"$1,620,564",atlanta-hawks,s:40~l:46~a:136,220 lbs
Bismack Biyombo,27,08/28/92,Zaire,,8,c0f396246c78a95d368211303cd9545a,,https://a.espncdn.com/i/headshots/nba/players/full/6427.png,"6' 8""",6427,8,Bismack Biyombo,C,"$17,000,000",charlotte-hornets,s:40~l:46~a:6427,255 lbs
Caleb Martin,24,09/28/95,"Mocksville, NC",Nevada,0,c7402e537823fac4b133907d0c303f60,,https://a.espncdn.com/i/headshots/nba/players/full/3138160.png,"6' 5""",3138160,10,Caleb Martin,SF,"$898,310",charlotte-hornets,s:40~l:46~a:3138160,205 lbs
Cody Martin,24,09/28/95,"Mocksville, NC",Nevada,0,28067c7c3d817f8a8924fb5ee35c1f34,,https://a.espncdn.com/i/headshots/nba/players/full/3138161.png,"6' 5""",3138161,11,Cody Martin,SF,"$1,173,310",charlotte-hornets,s:40~l:46~a:3138161,205 lbs
Cody Zeller,27,10/05/92,"Washington, IN",Indiana,6,5456b3d07ec621ddc6692f79179b3861,,https://a.espncdn.com/i/headshots/nba/players/full/2579258.png,"7' 0""",2579258,40,Cody Zeller,C,"$14,471,910",charlotte-hornets,s:40~l:46~a:2579258,240 lbs
Dwayne Bacon,24,08/30/95,"Lakeland, FL",Florida State,2,a8dd49a2213f4930ffaba75a9dad12eb,,https://a.espncdn.com/i/headshots/nba/players/full/3907821.png,"6' 6""",3907821,7,Dwayne Bacon,SG,"$1,618,520",charlotte-hornets,s:40~l:46~a:3907821,221 lbs
Jalen McDaniels,22,01/31/98,"Federal Way, WA",San Diego State,0,5bb01361102269a57cfae99047f23120,,https://a.espncdn.com/i/headshots/nba/players/full/4066731.png,"6' 10""",4066731,6,Jalen McDaniels,PF,"$898,310",charlotte-hornets,s:40~l:46~a:4066731,205 lbs
Joe Chealey,24,11/01/95,"Orlando, FL",Charleston,1,2a0b2978eac7e9430f2b84ba38f00f2c,,https://a.espncdn.com/i/headshots/nba/players/full/3058269.png,"6' 3""",3058269,31,Joe Chealey,PG,,charlotte-hornets,s:40~l:46~a:3058269,190 lbs
Kobi Simmons,22,07/04/97,"Atlanta, GA",Arizona,2,6b04a9da2a1f4bc2ba95f14ea377c88e,,https://a.espncdn.com/i/headshots/nba/players/full/4066335.png,"6' 5""",4066335,23,Kobi Simmons,PG,0,charlotte-hornets,s:40~l:46~a:4066335,180 lbs
Malik Monk,22,02/04/98,"Jonesboro, AR",Kentucky,2,919db74b1f214955fa42446e67f7811c,L,https://a.espncdn.com/i/headshots/nba/players/full/4066262.png,"6' 3""",4066262,1,Malik Monk,SG,"$4,028,400",charlotte-hornets,s:40~l:46~a:4066262,200 lbs
Miles Bridges,22,03/21/98,"Flint, MI",Michigan State,1,f288347bfa90b31d965a98e20e1a8294,,https://a.espncdn.com/i/headshots/nba/players/full/4066383.png,"6' 6""",4066383,0,Miles Bridges,SF,"$3,755,400",charlotte-hornets,s:40~l:46~a:4066383,225 lbs
Nicolas Batum,31,12/14/88,France,,11,e83378ef622aa88412bb86482f9a84d2,,https://a.espncdn.com/i/headshots/nba/players/full/3416.png,"6' 9""",3416,5,Nicolas Batum,SG,"$25,565,217",charlotte-hornets,s:40~l:46~a:3416,230 lbs
PJ Washington,21,08/23/98,,Kentucky,0,a2ef18dcdcbaf71be39ce794921f8193,,https://a.espncdn.com/i/headshots/nba/players/full/4278078.png,"6' 7""",4278078,25,PJ Washington,PF,"$3,831,840",charlotte-hornets,s:40~l:46~a:4278078,230 lbs
Ray Spalding,23,03/11/97,"Louisville, KY",Louisville,1,0155a5c21c02295979d5e2021d6bda97,,https://a.espncdn.com/i/headshots/nba/players/full/3908806.png,"6' 10""",3908806,26,Ray Spalding,PF,0,charlotte-hornets,s:40~l:46~a:3908806,215 lbs
Terry Rozier,26,03/17/94,"Youngstown, OH",Louisville,4,639066f0013b1e669f7558454a8c43f2,B,https://a.espncdn.com/i/headshots/nba/players/full/3074752.png,"6' 1""",3074752,3,Terry Rozier,PG,"$19,894,737",charlotte-hornets,s:40~l:46~a:3074752,190 lbs
Willy Hernangomez,25,05/27/94,Spain,,3,c9306a928d58f03d131cec2ef2a9a417,,https://a.espncdn.com/i/headshots/nba/players/full/2999409.png,"6' 11""",2999409,9,Willy Hernangomez,C,"$1,676,735",charlotte-hornets,s:40~l:46~a:2999409,250 lbs
Andre Iguodala,36,01/28/84,"Springfield, IL",Arizona,15,542c1e9a0229a0d689fc9cd962be10cd,,https://a.espncdn.com/i/headshots/nba/players/full/2386.png,"6' 6""",2386,28,Andre Iguodala,SG,"$17,185,185",miami-heat,s:40~l:46~a:2386,215 lbs
Bam Adebayo,22,07/18/97,"Newark, NJ",Kentucky,2,38b3edc557ffd3ff9aa22865f7f01a4c,,https://a.espncdn.com/i/headshots/nba/players/full/4066261.png,"6' 9""",4066261,13,Bam Adebayo,PF,"$3,454,080",miami-heat,s:40~l:46~a:4066261,255 lbs
Chris Silva,23,09/19/96,,South Carolina,0,94f6384ce3a65444dc546c8499748c81,,https://a.espncdn.com/i/headshots/nba/players/full/3923253.png,"6' 8""",3923253,30,Chris Silva,PF,"$466,918",miami-heat,s:40~l:46~a:3923253,234 lbs
Duncan Robinson,25,04/22/94,"York, ME",Michigan,1,36432468246f8e5e4079cf34dafef796,,https://a.espncdn.com/i/headshots/nba/players/full/3157465.png,"6' 7""",3157465,55,Duncan Robinson,SG,"$1,416,852",miami-heat,s:40~l:46~a:3157465,215 lbs
Gabe Vincent,23,06/14/96,"Modesto, CA",UC Santa Barbara,0,82247bd5fd403926f54faf0cc016aa37,R,https://a.espncdn.com/i/headshots/nba/players/full/3137259.png,"6' 3""",3137259,2,Gabe Vincent,PG,0,miami-heat,s:40~l:46~a:3137259,200 lbs
Goran Dragic,33,05/06/86,Yugoslavia,,11,a9d23f8adbff7d67bd46651615f1f228,,https://a.espncdn.com/i/headshots/nba/players/full/3423.png,"6' 3""",3423,7,Goran Dragic,PG,"$19,217,900",miami-heat,s:40~l:46~a:3423,190 lbs
Jae Crowder,29,07/06/90,"Villa Rica, GA",Marquette,7,9e192487c812d5d0ef90d932072ad833,,https://a.espncdn.com/i/headshots/nba/players/full/6581.png,"6' 6""",6581,99,Jae Crowder,SF,"$7,815,533",miami-heat,s:40~l:46~a:6581,235 lbs
Jimmy Butler,30,09/14/89,"Houston, TX",Marquette,8,076edf90d1672d1588cba174c984b9e3,,https://a.espncdn.com/i/headshots/nba/players/full/6430.png,"6' 7""",6430,22,Jimmy Butler,SF,"$32,742,000",miami-heat,s:40~l:46~a:6430,230 lbs
KZ Okpala,20,04/28/99,Nigeria,Stanford,0,de8d1ce9cadf50dcab46578058bab192,,https://a.espncdn.com/i/headshots/nba/players/full/4278521.png,"6' 8""",4278521,4,KZ Okpala,SF,"$898,310",miami-heat,s:40~l:46~a:4278521,215 lbs
Kelly Olynyk,28,04/19/91,"Toronto, ON",Gonzaga,6,9cfc539ec2edba991e28ae92154bf09b,,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png,"6' 11""",2489663,9,Kelly Olynyk,PF,"$12,667,885",miami-heat,s:40~l:46~a:2489663,240 lbs
Kendrick Nunn,24,08/03/95,"Chicago, IL",Oakland,0,1b9cf1568fad5f2e8690c35912d79900,,https://a.espncdn.com/i/headshots/nba/players/full/3056247.png,"6' 2""",3056247,25,Kendrick Nunn,SG,"$1,416,852",miami-heat,s:40~l:46~a:3056247,190 lbs
Kyle Alexander,23,10/21/96,"Scarborough, ON",Tennessee,0,ec82cf6a6a3dc2e0a412556809e457a1,,https://a.espncdn.com/i/headshots/nba/players/full/3918424.png,"6' 11""",3918424,17,Kyle Alexander,F,,miami-heat,s:40~l:46~a:3918424,220 lbs
Meyers Leonard,28,02/27/92,"Woodbridge, VA",Illinois,7,a8714c30890953702555fc52bd10dc39,,https://a.espncdn.com/i/headshots/nba/players/full/6605.png,"7' 0""",6605,0,Meyers Leonard,C,"$11,286,516",miami-heat,s:40~l:46~a:6605,260 lbs
